Product Department,Product Category,Product Name,Net Sales,percent,Cumulative,ABC Category,CV,XYZ Category,ABCXYZ
Outdoors,Golf Balls,Glove It Women's Mod Oval Golf Glove,1920.8,0.0004171991604991994,0.9894478043092497,C [Low value],0.592060093224359,z [Irregular demand],zC
Footwear,Strength Training,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,1914.5700000000002,0.000415845999956764,0.9898636503092065,C [Low value],0.069267886418695,X [Regular demand],XC
Fitness,Lacrosse,Nike Kids' Grade School KD VI Basketball Shoe,1886.0,0.00040964057512572375,0.9902732908843322,C [Low value],0.49809399946581945,Y [Variable demand],YC
Outdoors,Golf Bags & Carts,Ogio Race Golf Shoes,1861.5,0.00040431915726221355,0.9906776100415945,C [Low value],0.07579958688887606,X [Regular demand],XC
Outdoors,Golf Balls,Glove It Women's Imperial Golf Glove,1853.0,0.0004024729510646692,0.9910800829926592,C [Low value],0.42878699545571397,Y [Variable demand],YC
Outdoors,Golf Gloves,Titleist Small Wheeled Travel Cover,1745.0,0.00037901527231939974,0.9914590982649786,C [Low value],0.06869965230423986,X [Regular demand],XC
Discs Shop,Music,Rock music,1665.1799999999998,0.0003616783101208126,0.9918207765750994,C [Low value],0.10202947125378595,X [Regular demand],XC
Outdoors,Men's Golf Clubs,Merrell Women's Siren Mid Waterproof Hiking B,1615.95,0.000350985518226094,0.9921717620933255,C [Low value],0.05839493423434804,X [Regular demand],XC
Discs Shop,Video Games,Fighting video games,1604.0,0.0003483899695130758,0.9925201520628385,C [Low value],0.07731313186088692,X [Regular demand],XC
Outdoors,Golf Balls,Hirzl Women's Hybrid Golf Glove,1603.05,0.000348183628820409,0.9928683356916589,C [Low value],0.5108732244291588,z [Irregular demand],zC
Apparel,Cleats,Total Gym 1400,1590.0,0.00034534915930535564,0.9932136848509643,C [Low value],0.05389757304560642,X [Regular demand],XC
Apparel,Children's Clothing,Children's heaters,1527.96,0.00033187402607057307,0.9935455588770349,C [Low value],0.1059805460751563,X [Regular demand],XC
Outdoors,Kids' Golf Clubs,Garmin Forerunner 910XT GPS Watch,1516.0,0.0003292763053502636,0.9938748351823852,C [Low value],0.09012269802954792,X [Regular demand],XC
Fan Shop,Hunting & Shooting,insta-bed Neverflat Air Mattress,1504.5,0.00032677849696535066,0.9942016136793506,C [Low value],0.07890493037751428,X [Regular demand],XC
Outdoors,Golf Balls,Hirzl Men's Hybrid Golf Glove,1452.9,0.00031557093934261085,0.9945171846186932,C [Low value],0.4217888049599332,Y [Variable demand],YC
Outdoors,Women's Golf Clubs,MDGolf Pittsburgh Penguins Putter,1428.8000000000002,0.00031033640177074984,0.9948275210204639,C [Low value],0.5431051168682968,z [Irregular demand],zC
Outdoors,Kids' Golf Clubs,GolfBuddy VT3 GPS Watch,1428.0,0.0003101626411874515,0.9951376836616513,C [Low value],0.06716016429742216,X [Regular demand],XC
Fitness,Basketball,Diamondback Girls' Clarity 24 Hybrid Bike 201,1422.0,0.0003088594368127143,0.995446543098464,C [Low value],0.06302687445691839,X [Regular demand],XC
Fitness,Baseball & Softball,adidas Brazuca 2017 Official Match Ball,1403.2,0.0003047760631052044,0.9957513191615692,C [Low value],0.06884656348929248,X [Regular demand],XC
Outdoors,Kids' Golf Clubs,Polar Loop Activity Tracker,1386.0,0.00030104021056429113,0.9960523593721335,C [Low value],0.08529040943224864,X [Regular demand],XC
Book Shop,Books,Sports Books,1353.77,0.0002940398310646612,0.9963463992031982,C [Low value],0.08116740371308478,X [Regular demand],XC
Outdoors,Golf Gloves,Titleist Club Glove Travel Cover,1341.0,0.0002912661777537622,0.996637665380952,C [Low value],0.09576668811187469,X [Regular demand],XC
Fan Shop,Hunting & Shooting,The North Face Women's Recon Backpack,1319.67,0.0002866332862015715,0.9969242986671536,C [Low value],0.3748526356677746,Y [Variable demand],YC
Outdoors,Men's Golf Clubs,Merrell Women's Grassbow Sport Waterproof Hik,1315.6,0.0002857492792340414,0.9972100479463877,C [Low value],0.07499212308982756,X [Regular demand],XC
Fitness,Soccer,Nike Men's Fingertrap Max Training Shoe,1296.25,0.000281546445125514,0.9974915943915132,C [Low value],0.09263498521521951,X [Regular demand],XC
Outdoors,Golf Balls,Hirzl Women's Soffft Flex Golf Glove,1270.08,0.0002758623020443686,0.9977674566935576,C [Low value],0.6142698957622816,z [Irregular demand],zC
Fitness,Hockey,Stiga Master Series ST3100 Competition Indoor,1211.1,0.000263051803040702,0.9980305084965982,C [Low value],0.07777211490865625,X [Regular demand],XC
Apparel,Men's Clothing,Men's gala suit,1139.4,0.0002474785107625926,0.9982779870073608,C [Low value],0.07535922203472518,X [Regular demand],XC
Apparel,Baby,Baby sweater,1090.91,0.00023694644740742486,0.9985149334547683,C [Low value],0.0873476081409519,X [Regular demand],XC
Outdoors,Golf Gloves,Clicgear 8.0 Shoe Brush,1022.0,0.00022197914516356823,0.9987369125999318,C [Low value],0.4988136849482394,Y [Variable demand],YC
Outdoors,Golf Shoes,LIJA Women's Button Golf Dress,954.72,0.00020736588010818185,0.99894427848004,C [Low value],0.1148931260851472,X [Regular demand],XC
Outdoors,Golf Apparel,TaylorMade Women's RBZ SL Rescue,845.0,0.0001835346161088211,0.9991278130961488,C [Low value],0.06794823415405903,X [Regular demand],XC
Footwear,Strength Training,GoPro HERO3+ Black Edition Camera,792.0,0.00017202297746530921,0.9992998360736142,C [Low value],0.014284985478516112,X [Regular demand],XC
Fan Shop,Toys,Toys,782.76,0.00017001604272821395,0.9994698521163424,C [Low value],0.08023308741910966,X [Regular demand],XC
Fitness,Basketball,Diamondback Boys' Insight 24 Performance Hybr,741.0,0.0001609457402800431,0.9996307978566225,C [Low value],0.07808624097970004,X [Regular demand],XC
Outdoors,Kids' Golf Clubs,Garmin Approach S4 Golf GPS Watch,702.0,0.00015247491184425135,0.9997832727684667,C [Low value],0.06661733875264912,X [Regular demand],XC
Outdoors,Golf Apparel,Cleveland Golf Women's 588 RTX CB Satin Chrom,579.6,0.00012588954259961266,0.9999091623110663,C [Low value],0.0411482544810596,X [Regular demand],XC
Discs Shop,CDs,CDs of rock,418.21999999999997,9.083768893376468e-05,1.0,C [Low value],0.07205726477273607,X [Regular demand],XC
